,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter
Italy,AAECAQcGkAOiBLII08MCn9MC0fUCDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBsUE1QrWCvsM08UCkNMCDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBpkCigf4DMLOApfTAs30AgyKAfIF+wa2B+EH+weNCOfLAvHQAv3QAojSAtjlAgA=,AAECAZ8FBK8E68IC/eoCnvgCDUanBfUF+QqDxwK4xwLjywKVzgL70wLR4QKL5QLW5QK15gIA,AAECAaIHBLIC7QKvBJcGDbQBjALNA/YEmwWIB90IhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0EBJYGvwii0wLv8QINcbsClQOrBLQE5gSWBewFwcECmMQCj9MCvuwC++wCAA==,AAECAZICCP4BtAPFBLcGxAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8E+AiG0wK26gKA8wINjQH7AbUD+wWXCO0Jq8IC2MICnM0C3dICi+EC4eMC8vECAA==
Japan,AAECAQcE+wzTwwLJxwKf0wINS6IEkQb/B7IIm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GAsUEkNMCDpACoQTlBPYHjQjVCvIM+wzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICPsM08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QTeBf4F/wWyBpfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBvsHzAj4DMLOApfTAs30AgyKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QLq5gIA,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0EAuvCAqLTAg5xuwKVA6sEtATmBJYF7AWWBsHBApjEAo/TAvvsAu/xAgA=,AAECAZICBv4BtAPFBLcGmdMCm+gCDEBf6QHTA8QG5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8EhtMCnOICtuoCgPMCDY0B+wWXCO0Jq8IC2MIC68ICm8sCnM0C3dICi+EC4eMC8vECAA==
Kazakhstan,AAECAR8K+wX4CNPFApvLAtPNAobTApziArbqAv3qAoDzAgqNAZcI7QmrwgLYwgKczQLd0gKL4QLh4wLy8QIA,AAECAa0GBsUE1QrWCvsM08UCkNMCDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoIBvkD08UCq+cCw+oCp+4C7/cCDIEE9QT+Bf8Fsgb2B/sMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCooBmQKKB/sH+AzmwgLCzgKX0wKX6ALN9AIK8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAgA=,AAECAZ8FBq8EugSnBfkK68ICnvgCDEb1BZvCAoPHArjHAuPLApXOAvvTAtHhAovlAtblArXmAgA=,AAECAaIHBrICyAOvBJ0NysMCnvgCDIwCywPUBfUF3QiBwgKfwgLrwgLR4QKL5QKm7wLH+AIA,AAECAf0ECNACysMC08UCoM4Cws4Cm9MC8tMCo+sCC02KAckD7AebwgKWxwLV4QLX4QKW5AK+7AK38QIA,AAECAZICCP4BtAPFBLcGxAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8E68ICncwChtMCgPMCDagCtQOHBOsHlwjbCf4MjsMC180C3dIC39IC49ICi+UCAA==
South Korea,AAECAQcEogTTwwKf0wLR9QINS5EG/weyCPsMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GBpACxQTWCvsM08UCkNMCDKEE5QT2B40I1QryDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICN4F08UCnccCnOICq+cCw+oCp+4C7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBJfTAtjlAtvpApz4Ag2KAZME9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,AAECAZ8FBK8EugT96gKe+AINRqcF9QX5CuvCAoPHArjHAuPLApXOAvvTAtHhAtblArXmAgA=,AAECAaIHBLIC7QKvBJcGDbQBjALNA/YEmwWIB90IhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0ECtACxQTTxQLCzgKb0wLy0wLY5QKj6wK+7AKm8AIKTYoByQPsB5vCApbHAtXhAtfhApbkArfxAgA=,AAECAZICAusCmdMCDkBf/QL3A+YFhQjkCKDNAofOApjSAp7SAtvTAoTmAtfvAgA=,AAECAR8G+AjTzQKG0wK26gLL7AKA8wIMjQH7AfsFlwjtCavCAtjCApzNAt3SAovhAuHjAvLxAgA=
Malaysia,AAECAQcGogKQA6IEkAfTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAa0GCMUEkAfVCtYK+wzJxwKQ0wKO7gILkAKhBOUE9geNCPIM0cEC6NACy+YC/OoCvfMCAA==,AAECAaoICN4F/wXTxQKdxwKr5wLD6gKn7gLv9wILgQT1BP4Fsgb2B/sMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCooBogKTBIoHm8ICycICl9MC2OcC2+kCnPgCCvcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA=,AAECAZ8FBK8EpwWD1AKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBLICrwSXBsvsAg20AYwCzQO9BJsFiAekB4YJgcIC68IC3NEC2+MCpu8CAA==,AAECAf0ECNACuAPTxQLCzgKb0wLy0wKj6wKm8AILTYoByQPsB5vCApbHAtXhAtfhApbkAr7sArfxAgA=,AAECAZICBIfOAsLOAq/TAvHqAg1AX+kB5AjJxwKU0gKY0gKe0gLm0wKL4QKE5gLd6wKN8AIA,AAECAR8GysMChtMCnOICtuoC/eoCgPMCDI0B+wWXCO0Jq8IC2MIC68ICnM0C3dICi+EC4eMC8vECAA==
Mexico,AAECAQcGkAOiBPIFsgjTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAZ/HAgTFBKUJ1QqQ0wINkAKhBOUE9geNCPIM+wzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoIBt4F08UCq+cCw+oCp+4C7/cCDIEE9QT+Bf8Fsgb2B/sMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GBq8E8gWfwgLKwwKc4gL96gIMMIQBzgfCCPcMm8sC980Cn84C8tAC0eECh+gC7/ECAA==,AAECAZ8FBq8EpwWVzgKL5QL96gKe+AIMRvUF+QqbwgLrwgKDxwK4xwLjywL70wLR4QLW5QK15gIA,AAECAaIHCLICyAOvBJ/CAsrDAsrLAv3qAp74AguMAssD1AX1Bd0IgcIC68IC0eECi+UCpu8Cx/gCAA==,AAECAY0WCtACxQTTxQKgzgKb0wLy0wLq5gKj6wK+7AKm8AIKTYoByQPsB5vCApbHAtXhAtfhApbkArfxAgA=,AAECAZICCla0A5MExQTEBsLOAp7SApnTApfoApvoAgpAX+kB0wPkCKDNAofOApjSAtvTAr/yAgA=,AAECAR8M+wX7BpcI+AiGwwLGzgLd0gKG0wK26gL96gLL7AKA8wIJjQH7AavCAtjCApzNAtPNAovhAuHjAvLxAgA=
Netherlands,AAECAQcEogKiBNPDAp/TAg1LkQb/B7II+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBpACxQTVCtYKkNMCifECDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCIoH+wf4DObCAqbOAsLOApfTAs30AguKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBK8EpwWVzgKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywL70wLR4QLW5QK15gL96gIA,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAOTBMUE4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8I+AjJwgLrwgLTzQKG0wKc4gK26gKA8wILjQGXCO0Jq8IC2MICm8sCnM0C3dICi+EC4eMC8vECAA==
New Zealand,AAECAQcGkAOiBNPDAtPFAp/TAtH1AgxLkQb/B/sMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GBpACxQSKB9UK1gqQ0wIMoQTlBPYHjQjyDPsM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoICvkD3gX/BdPFApziAqvnAsPqAqfuAp7wAu/3AgqBBPUE/gWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GBMnCApfTAtvpApz4Ag2KAZME9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,AAECAZ8FBvADrwSnBZvCAv3qAp74AgxG9QX5CuvCAoPHArjHAuPLApXOAvvTAtHhAtblArXmAgA=,AAECAYO6AgbNA9QFhsICgNMCz+ECw+oCDMQBnALtAp8DiAWGCZfBAvzBAuvCAsfTAtvjAvbsAgA=,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAPFBLcG4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8I+wX4CO0J68IChtMCnOICtuoCgPMCC40BlwirwgLYwgKbywKczQLTzQLd0gKL4QLh4wLy8QIA
Norway,AAECAQcGogKiBJAHsgjTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAa0GBsUE1QrWCvsM08UCkNMCDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAfe5Agr5A94F/wXTxQKc4gKr5wLD6gKn7gKe8ALv9wIKgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCooBkwTyBYoHycICl9MCneIC2OUC2+kCnPgCCvcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA=,AAECAZ8FBK8EpwX5Cp74Ag1G9QWbwgKDxwK4xwLjywKVzgL70wLR4QKL5QLW5QK15gL96gIA,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0ECNACysMC08UCoM4Cws4Cm9MC8tMCo+sCC02KAckD7AebwgKWxwLV4QLX4QKW5AK+7AK38QIA,AAECAZICCP4BtAOTBMUExAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8K+wXFCPgI08UChtMCnOICtuoC/eoC8vECgPMCCo0BlwjtCavCAtjCApzNAtPNAovhAuHjAtzuAgA=
Peru,AAECAQcGkAeyCMrDAtPDAp/TAuXvAgxLogSRBv8H+wybwgK+wwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBpACxQTVCtYK08UCkNMCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICP8F08UCnccCq+cCw+oC4OoCp+4C7/cCC4oBgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCJME8gWKB8nCApfTAp3iAtvpApz4AguKAfcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA=,AAECAZ8FBK8Em8IC/eoCnvgCDUanBfUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAPFBMQGws4CntICmdMCm+gCC0Bf6QHTA+QIoM0Ch84ClNICmNIC29MChOYCAA==,AAECAR8I+wX4CNPNAsbOAobTApziArbqAoDzAguNAbUDlwirwgLYwgKbywKczQLd0gKL4QLh4wLy8QIA
Philippines,AAECAQcC08MCn9MCDkuiBJEG/weyCPsMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GBMUE1QrWCpDTAg2QAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gKJ8QK98wIA,AAECAfe5AgbTxQKc4gKr5wLD6gKn7gLv9wIMgQT1BN4F/gX/BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0GBK8Ews4CnOIC/eoCDTCEAc4HwgjVCPcMm8sC980Cn84C8tAC0eEC2OUCh+gCAA==,AAECAYsWBPIBrwSnBZ74Ag1G+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gL96gIA,AAECAYO6AgSyAu0CrwTL7AINtAGMAs0D9gSbBYgH3QiGCYHCAuvCAtzRAtvjAqbvAgA=,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAbSKAwL+AZnTAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wKE5gLX7wIA,AAECAR8I8gX4CMLOAobTAufhApziArbqAoDzAguNAcbCAuvCAsrDApvLApzNAtPNAt3SAuHjAu3qAvLxAgA=
Poland,AAECAQcGkAOiBLII08MCn9MC0fUCDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GCJACxQTVCtYK+wzTxQKgzgKQ0wILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICCCZAqzCAvPCAsLOAvbsAqfuAs30Agu9AdMB/gXZB/AHsQiRwQKbywKW6AKU7wKw8AIA,AAECAf0GBpkCigegzgLCzgKX0wLN9AIMigHyBfsGtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBLIC7QKvBN0IDbQBjALNA70EmwWIB6QHhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0EAr8IotMCDnG7ApUDqwS0BOYElgXsBZYGwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAOTBMUE4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8Glwj4CIbTArbqAv3qAoDzAgyNAfsB+wXtCavCAtjCApzNAtPNAt3SAovhAuHjAvLxAgA=
Portugal,AAECAQcGkAP8BLII08MC08UCn9MCDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GCJACxQTVCtYK+wzTxQKgzgKQ0wILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoIBu0F+Ayr5wLD6gKn7gLv9wIMgQT1BP4F/wWyBvYH+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0GCJMEigfJwgKX0wKd4gLY5wLb6QKc+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZ8FBK8EpwWVzgKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywL70wLR4QLW5QK15gL96gIA,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0ECtAC+wzTxQKbywLCzgKb0wLy0wKj6wK+7AKm8AIKTYoByQPsB5vCApbHAtXhAtfhApbkArfxAgA=,AAECAZICCP4BtAOTBMUExAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8GhwSuBu0GhsMC6dIChtMCDI0BqAK1A8kElwjbCf4M3dIC39IC49IC4eMC6uMCAA==
Romania,AAECAYwWApAH08MCDkuiBJEG/weyCPsMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAZ/HAgiQAsUE1QrWCvsM08UCoM4CkNMCC6EE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBMnCApfTAp3iAtvpAg2KAZME9wTyBbYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAaToAgSvBPEFlc4CnvgCDUanBfUF+QqbwgLrwgKDxwK4xwLjywL70wLR4QLW5QK15gIA,AAECAYO6AgSyAu0CrwSbyAINtAGMAs0D9gSbBZcGiAeGCYHCAuvCAtzRAtvjAqbvAgA=,AAECAc2xAgK/CKLTAg5xuwKVA6sEtATmBJYF7AXBwQKYxAKP0wK+7AL77ALv8QIA,AAECAbSKAwqvBLQF3gXTxQLKywKgzgKZ0wKc4gLQ5wL96gIK8gWXwQLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA,AAECAR8K+wX4CNPFApvLAtPNAobTApziArbqAv3qAoDzAgqNAZcI7QmrwgLYwgKczQLd0gKL4QLh4wLy8QIA
Russian Federation,AAECAQcEkAOiBNPDAp/TAg1LkQb/B7II+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBMUE1QrTxQKQ0wINkAKhBOUE9geNCPIM0cECyccC6NACy+YC/OoCifECvfMCAA==,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAfqUAwaKB/gMps4Cws4Cl9MCzfQCDIoB8gX7BrYH4Qf7B40I58sC8dAC/dACiNIC2OUCAA==,AAECAaToAgSvBKcF/eoCnvgCDUb1BfkKm8IC68ICg8cCuMcC48sClc4C+9MC0eEC1uUCteYCAA==,AAECAYO6AgSGwgKA0wLP4QLD6gINxAGcAu0CnwPNA4gF1AWGCZfBAvzBAuvCAtvjAvbsAgA=,AAECAY0WBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCla0A5MExQTtBcQGws4CntICmdMCm+gCCkBf6QHTA+QIoM0Ch84CmNIC29MCv/ICAA==,AAECAR8I8gX4CMLOAobTAufhApziArbqAoDzAguNAcbCAuvCAsrDApvLApzNAtPNAt3SAuHjAu3qAvLxAgA=
Singapore,AAECAQcEkAOiBNPDAp/TAg1LkQb/B/sMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCxfMCAA==,AAECAZ/HAgjFBIoH1QrWCvsMyccCkNMCju4CC5ACoQTlBPYHjQjyDNHBAujQAsvmAvzqAr3zAgA=,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBo8G+AymzgLCzgKX0wLN9AIM8gX7BrYH4Qf7B40I5sIC58sC8dAC/dACiNIC2OUCAA==,AAECAYsWBK8EpwWbwgKe+AINRvUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gL96gIA,AAECAYO6AgbNA5sFhsICgNMCz+ECw+oCDMQBnALtAp8DiAXUBYYJl8EC/MECx9MC2+MC9uwCAA==,AAECAY0WBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCFb+AbQDxQS3BsLOApnTApvoAgtAX+kB0wPkCKDNAofOApjSAp7SAtvTAr/yAgA=,AAECAYoWBvgIycIChtMCnOICtuoCgPMCDI0B+wWXCO0Jq8IC2MICnM0C080C3dICi+EC4eMC8vECAA==
Slovakia,AAECAQcEkAOQB9PDAp/TAg1LogSRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBpACxQSQB6DOApDTAonxAgyhBOUE9geNCPIM+wzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICvkD3gX/BdPFApziAqvnAsPqAqfuAp7wAu/3AgqBBPUE/gWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCJkCigf7B/gM5sICws4Cl9MCzfQCC4oB8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAgA=,AAECAZ8FBK8EugT5Cp74Ag1G9QXrwgKDxwK4xwLjywKVzgL70wKD1ALR4QLW5QK15gL96gIA,AAECAaIHBLIC7QKvBMvsAg20AYwCzQP2BJsFiAfdCIYJgcIC68IC3NEC2+MCpu8CAA==,AAECAY0WCNAC08UCoM4Cws4Cm9MC8tMCo+sCpvACC02KAckD7AebwgKWxwKbywLV4QLX4QKW5AK38QIA,AAECAZICCP4BtAOTBMUExAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8I+wX4COvCAsrDAobTApziArbqAoDzAguNAZcI7QmrwgLYwgKbywKczQLd0gKL4QLh4wLy8QIA
Spain,AAECAQcGkAOiBLII08MCn9MC5e8CDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBsUE1QrWCvsMkNMCifECDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICt4F/wXTxQKdxwKc4gKr5wLD6gKn7gKe8ALv9wIKgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBooH+AzmwgLCzgKX0wLN9AIMigHyBfsGtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBq8EpwXrwgKDxwL96gKe+AIMRvUF+QqbwgK4xwLjywKVzgL70wLR4QKL5QLW5QK15gIA,AAECAaIHBsgDrwTKwwLKywL96gKe+AIMjALLA9QF9QXdCIHCAp/CAuvCAtHhAovlAqbvAsf4AgA=,AAECAf0EBIsDlga/CKLTAg1xuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77ALv8QIA,AAECAZICBP4BxAaZ0wKE5gINQF/9AvcD5gWFCOQIoM0Ch84CmNICntIC29MC1+8CAA==,AAECAR8G+AiGwwKG0wK26gLL7AKA8wIMjQH7AfsFlwjtCavCAtjCApzNAt3SAovhAuHjAvLxAgA=
Sweden,AAECAQcIogKQA6IEkAfKwwLTwwKf0wLR9QILS5EG/wf7DJvCAr7DApvLAszNAs/nAqrsApvzAgA=,AAECAZ/HAgaQAsUEigfWCvsMkNMCDKEE5QT2B40I1QryDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICvkD3gX/BdPFApziAqvnAsPqAqfuAp7wAu/3AgqBBPUE/gWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCIoB+waKB8wI+AzCzgKX0wLN9AIL8gW2B+EH+weNCObCAufLAvHQAv3QAojSAtjlAgA=,AAECAZ8FBq8EpwWbwgKL5QL96gKe+AIMRvUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBrICyAOvBMrDAsrLAp74AgyMAssD1AX1Bd0IgcICn8IC68IC0eECi+UCpu8Cx/gCAA==,AAECAf0ECNAC08UCoM4Cws4Cm9MC8tMCo+sCpvACC02KAckD7AebwgKWxwLV4QLX4QKW5AK+7AK38QIA,AAECAbSKAwhW/gG0A8UEtwbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8I+AjrwgKbywKG0wKc4gK26gL96gKA8wILjQGXCO0Jq8IC2MICnM0C080C3dICi+EC4eMC8vECAA==
Switzerland,AAECAQcGogKQA6IEkAfTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAa0GBpACxQTVCtYKkNMCifECDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICt4F/wXTxQKc4gKr5wLD6gLL7AKn7gKe8ALv9wIKgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCJkCigf7B/gM5sICws4Cl9MCzfQCC4oB8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAgA=,AAECAZ8FBKcF68IC/eoCnvgCDUb1BfkKm8ICg8cCuMcC48sClc4C+9MC0eECi+UC1uUCteYCAA==,AAECAaIHBLIC7QKvBJcGDbQBjALNA/YEmwWIB90IhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0EBJYGvwivwgKi0wINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAOTBMUExAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8G+AiGwwKG0wK26gLL7AKA8wIMjQH7AfsFlwjtCavCAtjCApzNAt3SAovhAuHjAvLxAgA=
Taiwan,AAECAQcEkAOiBNPDAp/TAg1LkQb/B7II+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBpACxQTVCtYK08UCkNMCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICvkD3gX/BdPFApziAqvnAsPqAqfuAp7wAu/3AgqBBPUE/gWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GBooBigfCzgKX0wLq5gLN9AIMmQLyBfsGtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBLIC7QKvBMvsAg20AYwCzQP2BJsFiAfdCIYJgcIC68IC3NEC2+MCpu8CAA==,AAECAf0ECJwC0ALTxQKgzgLCzgKb0wLy0wKj6wILTYoByQPsB5vCApbHAtXhAtfhApbkAr7sArfxAgA=,AAECAZICClb+AbQDkwTFBMQGws4CmdMCm+gCv/ICCkBf6QHTA+QIoM0Ch84CmNICntIC29MCAA==,AAECAR8GysMCm8sChtMCnOICtuoCgPMCDI0B+wWXCO0Jq8IC2MIC68ICnM0C3dICi+EC4eMC8vECAA==
